RAZONSOCIAL;NOMBRECOMERCIAL;DIRECCION;SITIOWEB;EMAIL;TELEFONO;TELEFONO2;FAX;PRODUCTOS;EMPLEOTOTAL;RANGOFACTURACION;IMPORTA;EXPORTA;FECHAACTUALIZACION
8Y5 DIGITAL STUDIO, S.L.;;CASIMIRO VELASCO 20, 2O IZQUIERDA, GIJON, ASTURIAS, 33201 33201 GIJON ASTURIAS;https://8y5.studio/;hello@8y5.studio;;;0...;Diseño digital especializado en productos digitales (Apps, Web Apps, Webs), UI/UX y branding (desarollo de imagen corporativa).;2;Entre 0 y 150.000;;;31/07/2025
A CONTRAVIENTO, C.B.;A CONTRAVIENTO COMUNICACION;C/ MIGUEL HERNANDEZ, 8 B, 1º E 33420 SIERO ASTURIAS;;acontravientocomunicacion@gmail.com;98.418.97.39;;;Diseño gráfico, publicidad, imagen corporativa, estrategias de comunicación, packaging, marketing directo, streetmarketing, organización de actos, proyectos web.;;n.d.;;;31/07/2025
A.C. ASTURIAS ASESORES, S.L.;;C/ LOS MOROS 17 1º 33206 GIJON ASTURIAS;http://www.asturiasasesores.com;info@asturiasasesores.com;98.535.56.58;;98.517.12.91;Consultores europeos (Proyectos Euromanagement y Bc-Net) Consultoría fiscal, laboral, contable, auditoría. Consultoría jurídica. Procesos concursales. Licitaciones;;n.d.;;si;31/07/2025
A.C.G. INGENIERIA, S.A.;;POL. IND. FALMURIA, C/ CARRIO 9. PRENDES 33438 CARREÑO ASTURIAS;http://www.acgingenieria.com;acg@acgingenieria.com;98.588.76.61;;98.588.77.37;Ingeniería, montaje y mantenimiento de instalaciones eléctricas. Instalaciones de baja, media y alta tensión, regulación y control.;;n.d.;;;01/10/2025
A.M.H. BERAN, S.L.;BERAN;C/ MARCO POLO, 54 33211 GIJON ASTURIAS;http://www.beran.es;amhberan@beran.es;98.516.73.23;;98.516.88.42;Afilado y venta de herramientas de corte. Venta de maquinaria para la carpintería;;n.d.;;;31/07/2025
A.T.C. COABITRANS, S.L.;;LG. SILVOTA. CTRA. ANTIGUA GIJON - AVILES. AS-19 KM- 15700. TRASONA 33468 CORVERA DE ASTURIAS ASTURIAS;http://www.coopaviles.com;administracion@coopaviles.com;98.554.58.0;;98.552.51.68;Transporte de mercancías por carretera;;n.d.;;;31/07/2025
ABAMOBILE SOLUTIONS, S.L.;;C/ ABLANAL 6, PARCELA 53. PARQUE TECNOLOGICO DE ASTURIAS 33428 LLANERA ASTURIAS;http://www.abamobile.com;info@abamobile.com;98.411.10.10;;;Expertos en desarrollo de aplicaciones móviles a medida para empresas. Consultoría para digitalización móvil y creación de herramientas en movilidad. Integramos las aplicaciones con los sistemas de la empresa. Desarrollos nativos para Android e iOS. Integración con dispositivos Bluetooth, uso de NFC, sistemas de identificación.Desarrollo de aplicaciones móviles nativas para iOS y Android, Beacons, Plataformas web completas para ser utilizadas en entornos móviles,Integración de aplicaciones móviles con los sistemas de la empresa, Mantenimiento y evolutivo de aplicaciones móviles actuales, Desarrollo de catálogos digitales, Tecnología NFC, Pagos móviles, Consultoría de movilidad corporativa, Sistema de votación y televoting, Plataforma para reuniones bilaterales b2b, Sistema de control de accesos Soluciones tecnológicas de conectividad y movilidad;;n.d.;;si;23/09/2025
ABED AL RAHMAN AL-MA'AYTEH LOPEZ, E.I.;HIPOPOTESIS: AGENCIA DE INVESTIGACION SOCIAL;AVDA. ARGENTINA 132, DESP.231 33213 GIJON ASTURIAS;https://hipopotesis.com/;contacto@hipopotesis.com;622626736;;;Investigación etnográfica. Transformación Cultural. Design Thinking. Lean Thinking. Información cualitativa. User Experience. Diseño de soluciones. Entrevistas. Encuestas. Focus Groups. Shop Along. Mistery Shopping.;4;Entre 0 y 150.000;si;si;01/10/2025
ABEL FERNANDEZ MARTINEZ, E.I.;ASESORIA ARSAM;URB. LA VEGA, 4 33860 SALAS ASTURIAS;https://www.abelfernandezmartinez.es/;abel.fernandez@arsam-salas.com;98.583.07.63;;98.583.03.34;Asesoría laboral, contable y fiscal.;3;n.d.;;;31/07/2025
ABEL SUAREZ FERNANDEZ, E.I.;CAS DRON INGENIERIA TOPOGRAFICA;C/ SAN FRANCISCO, 2 - BAJO - OFICINAS REGUS 33003 OVIEDO ASTURIAS;http://www.casdron.es/;abel@casdron.es;;;;Aplicación de los drones tanto en ingeniería industrial, cartografía, fotogrametría, GIS, catastro como en en el mantenimiento, control de seguridad y diseño de líneas eléctricas. Soluciones tecnológicas en drones;;n.d.;;;31/07/2025
